2019-08-14 15:32:46,526 - __main__ - INFO:agent started: [7204]
2019-08-14 15:32:46,526 - plugins.base - INFO:plugin[ host ] running ...
2019-08-14 15:34:44,645 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:34:46,655 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:34:46,656 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:34:51,661 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:34:52,660 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:34:56,667 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:34:58,664 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:01,672 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:04,668 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:06,673 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:06,673 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:11,678 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:12,678 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:16,682 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:18,682 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:21,688 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:24,686 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:26,694 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:26,694 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:31,699 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:32,698 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:36,705 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:38,702 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:41,711 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:44,707 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:46,716 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:46,717 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:51,720 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:52,721 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:35:56,723 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
