2019-06-14 17:10:12,131 - __main__ - INFO : started: [25053]
2019-06-14 17:10:12,131 - plugins.base - INFO : plugin[host] running ...
2019-06-14 17:11:27,209 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:30,202 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:32,215 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:32,215 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:37,220 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:38,219 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:42,223 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:44,223 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:47,224 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:11:50,227 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
